"axis","cell_type","rank1_vs_projection_abs_cosine","projection_vs_joint_max_subspace_cosine"
1,"Epithelial",1,0.999908154919199
1,"Fibroblast",1,0.999971843795835
1,"Immune",1,0.998483738536496
2,"Epithelial",0.998203798180603,0.999084433862768
2,"Fibroblast",0.999831705044234,0.999898942746199
2,"Immune",0.995661657040684,0.995336514175899
3,"Epithelial",0.995943315805595,0.999909250946839
3,"Fibroblast",0.996523868649143,0.999896378458877
3,"Immune",0.964717752561595,0.998897291027502
4,"Epithelial",0.972459736731439,0.998910115313728
4,"Fibroblast",0.978015238096189,0.999051384912439
4,"Immune",0.87687622026379,0.994773297858402
