"axis","original_objective","method"
1,2171.92790011099,"sequential_rank1_current"
2,1182.39576076205,"sequential_rank1_current"
3,561.278182899156,"sequential_rank1_current"
4,476.194756465038,"sequential_rank1_current"
1,2171.92790011099,"sequential_projection"
2,1181.28727205682,"sequential_projection"
3,562.353432932005,"sequential_projection"
4,470.492946539209,"sequential_projection"
1,2170.79322370166,"joint_product_Stiefel"
2,1180.17957964948,"joint_product_Stiefel"
3,563.510237961133,"joint_product_Stiefel"
4,477.339642959448,"joint_product_Stiefel"
